item,user,user_name,item_name,LLM_explanation,LLM_rating,LLM_interaction_HTML,rating
3,575,David Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,186,Sarah Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,174,Charlotte,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,203,David Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,301,Jack Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,37,Ethan Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,80,Olivia,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,205,Amy,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,315,Sarah Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,285,Sophie Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,312,Alex Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,148,Ava Chen,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,212,Sarah Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,206,Ben,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,414,Sarah Taylor,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,198,Lily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,178,Emily Williams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,258,Lily,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,279,William Taylor,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,573,John Davis,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,233,Ethan Harris,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,318,Michael Rodriguez,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,494,Emily Jackson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,78,Sophia Reed,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,71,David Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,520,Sarah Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,400,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,424,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,118,Sofia Rodriguez,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,297,Ethan Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,13,Emily Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,83,Jackson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,22,Maya Rodriguez,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,323,Sophie Chen,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,42,Emily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,559,Jack Chen,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,125,David Peterson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,240,Alex,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,166,Carol,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,76,Emily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,519,David,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,111,Caitlin,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,347,William Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,231,Robert Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,486,John,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,99,Emily Patel,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,508,Ava Green,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,496,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,536,Emily Smith,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,225,Ethan,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,263,William Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,489,Alex,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,20,Aaliyah Patel,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,516,Lily,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,152,Ethan Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,294,John,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,201,James Mitchell,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,10,Sophia Peterson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,534,David Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,127,Samuel Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,64,Emily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,25,Mark Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,272,Alex Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,529,Ethan Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,139,Olivia Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,391,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,57,Lucas Green,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,439,Lily,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,147,William Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,195,Liam O'Connell,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,96,Alexander Chen,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,336,Sarah Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,217,David,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,133,James Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,369,Sofia Rodriguez,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,533,Samantha Davis,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,357,Emma Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,381,James Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,156,Jared Smith,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,130,Sofia Garcia,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,591,Michael Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,478,Emily Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,117,Ethan Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,488,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,296,Aaliyah Patel,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,387,David Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,469,Sarah Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,326,Charlie,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,19,Ethan Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,571,Ethan Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,284,Akira Saito,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,567,Olivia Smith,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,29,Eric,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,187,William Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,172,Alice,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,7,David Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,307,Michael,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,122,Jasmine,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,72,Avery Adams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,467,Olivia Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
6,226,Maria,The Return of the King,,5.0,,5.0
6,65,David Lee,The Return of the King,,5.0,,5.0
6,38,Olivia Thompson,The Return of the King,,5.0,,5.0
6,370,David Lee,The Return of the King,,5.0,,5.0
6,502,Jared Lee,The Return of the King,,5.0,,5.0
