item,user,user_name,item_name,LLM_explanation,LLM_rating,LLM_interaction_HTML,rating
3,64,Emily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,507,Max,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,354,Maya Patel,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,268,Alice,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,300,Emily Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,163,Jack,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,395,David Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,253,Thomas Brown,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,246,Emily Jones,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,151,Michael Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,471,Emily Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,593,Samuel Johnson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,348,Alex Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,299,Mark Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,542,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,441,David Kim,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,62,Sarah Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,58,Sarah Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,98,David Kim,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,149,Ethan Kim,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,193,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,81,Ethan,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,51,Samuel Garcia,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,409,Max Davis,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,25,Mark Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,558,Sophie Anderson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,158,James Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,427,Thomas,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,146,Emily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,90,Isabella,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,511,Ethan Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,493,David Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,229,Michael Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,282,James Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,195,Liam O'Connell,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,407,Samuel Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,455,Ethan Thompson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,429,Ethan,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,403,David,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,415,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,410,Emily Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,339,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,328,Alex Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,119,William Brown,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,489,Alex,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,269,Ben,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,261,Liam Adams,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,180,Luna Rossi,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,38,Olivia Thompson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,164,Ava,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,469,Sarah Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,547,David White,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,167,David,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,39,James Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,71,David Thompson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,241,Sofia,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,185,Mark Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,344,Emily Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,82,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,166,Carol,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,578,Amelia Jackson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,401,Alex,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,579,Omar Hassan,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,18,Sophia Garcia,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,305,Jack,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,165,Ben,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,183,David Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,301,Jack Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,263,William Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,14,John Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,505,Ethan,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,483,Peter Smith,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,539,William Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,532,Alex Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,55,Sarah Kim,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,375,Alexander Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,154,Jack Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,356,Adrian Thompson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,249,Lisa,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,585,Emily Green,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,138,Samuel Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,287,Lily Chen,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,223,David Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,387,David Brown,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,318,Michael Rodriguez,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,74,Emily Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,222,Sarah Jones,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,48,Emily Taylor,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,208,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,492,Maya Patel,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,435,Emily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,345,James Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,329,Emily Thompson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,590,Sarah Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,514,Olivia Wong,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,567,Olivia Smith,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,267,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,524,Emma Stone,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,399,David Green,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,112,Olivia Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
6,585,Emily Green,The Return of the King,,4.0,,4.0
6,408,"Alexandra ""Alex"" Johnson",The Return of the King,,5.0,,5.0
6,20,Aaliyah Patel,The Return of the King,,5.0,,5.0
6,500,Ethan Thompson,The Return of the King,,3.0,,3.0
6,532,Alex Johnson,The Return of the King,,5.0,,5.0
6,246,Emily Jones,The Return of the King,,4.0,,4.0
6,399,David Green,The Return of the King,,5.0,,5.0
6,490,Lily,The Return of the King,,5.0,,5.0
6,200,Ava Nelson,The Return of the King,,5.0,,5.0
6,560,Lily Patel,The Return of the King,,4.0,,4.0
6,531,James Anderson,The Return of the King,,5.0,,5.0
6,519,David,The Return of the King,,5.0,,5.0
6,439,Lily,The Return of the King,,5.0,,5.0
6,428,Ava,The Return of the King,,4.0,,4.0
6,180,Luna Rossi,The Return of the King,,5.0,,5.0
6,196,Emily Johnson,The Return of the King,,4.0,,4.0
6,417,John Smith,The Return of the King,,3.0,,3.0
6,150,Isabella Rodriguez,The Return of the King,,4.0,,4.0
6,513,Ethan Thompson,The Return of the King,,3.0,,3.0
6,342,William Smith,The Return of the King,,4.0,,4.0
6,586,James Thompson,The Return of the King,,5.0,,5.0
6,459,John Miller,The Return of the King,,5.0,,5.0
6,251,Emily,The Return of the King,,5.0,,5.0
6,138,Samuel Lee,The Return of the King,,5.0,,5.0
6,493,David Wilson,The Return of the King,,5.0,,5.0
6,71,David Thompson,The Return of the King,,4.0,,4.0
6,278,Sophia Jones,The Return of the King,,4.0,,4.0
6,556,Ava Lee,The Return of the King,,5.0,,5.0
6,354,Maya Patel,The Return of the King,,4.0,,4.0
6,242,James,The Return of the King,,4.0,,4.0
6,231,Robert Lee,The Return of the King,,5.0,,5.0
6,437,Emma,The Return of the King,,4.0,,4.0
6,270,Claire,The Return of the King,,3.0,,3.0
6,132,Lily Johnson,The Return of the King,,4.0,,4.0
6,590,Sarah Lee,The Return of the King,,4.0,,4.0
6,118,Sofia Rodriguez,The Return of the King,,4.0,,4.0
6,17,Max Johnson,The Return of the King,,5.0,,5.0
6,177,Samuel Johnson,The Return of the King,,5.0,,5.0
6,266,Emily Thompson,The Return of the King,,3.0,,3.0
6,326,Charlie,The Return of the King,,5.0,,5.0
6,314,David Green,The Return of the King,,4.0,,4.0
6,106,Amelia Rose,The Return of the King,,5.0,,5.0
6,186,Sarah Thompson,The Return of the King,,5.0,,5.0
6,181,Alex Williams,The Return of the King,,3.0,,3.0
6,499,William,The Return of the King,,5.0,,5.0
6,273,Emily Wilson,The Return of the King,,5.0,,5.0
6,564,Alex Johnson,The Return of the King,,5.0,,5.0
6,104,Hannah Johnson,The Return of the King,,4.0,,4.0
6,67,James Johnson,The Return of the King,,4.0,,4.0
6,283,Emily Taylor,The Return of the King,,5.0,,5.0
6,86,Sarah Wilson,The Return of the King,,4.0,,4.0
6,94,Sarah,The Return of the King,,3.0,,3.0
6,279,William Taylor,The Return of the King,,5.0,,5.0
6,341,Sarah Lee,The Return of the King,,3.0,,3.0
6,247,William Brown,The Return of the King,,5.0,,5.0
6,385,Mark Johnson,The Return of the King,,4.0,,4.0
6,260,Emily Thompson,The Return of the King,,4.0,,4.0
6,542,David Lee,The Return of the King,,3.0,,3.0
6,311,Oliver Wilson,The Return of the King,,4.0,,4.0
6,421,Emma,The Return of the King,,5.0,,5.0
6,539,William Lee,The Return of the King,,4.0,,4.0
6,259,James,The Return of the King,,4.0,,4.0
6,226,Maria,The Return of the King,,4.0,,4.0
6,452,Emily Wilson,The Return of the King,,5.0,,5.0
6,203,David Thompson,The Return of the King,,5.0,,5.0
6,50,Olivia Brown,The Return of the King,,4.0,,4.0
6,105,William Smith,The Return of the King,,3.0,,3.0
6,365,David Thompson,The Return of the King,,4.0,,4.0
6,425,Ethan,The Return of the King,,4.0,,4.0
6,540,Alex Johnson,The Return of the King,,4.0,,4.0
6,21,Ethan Thompson,The Return of the King,,5.0,,5.0
6,124,Emily Johnson,The Return of the King,,3.0,,3.0
6,99,Emily Patel,The Return of the King,,4.0,,4.0
6,550,Ryan Lee,The Return of the King,,4.0,,4.0
6,120,Ava,The Return of the King,,5.0,,5.0
6,53,Emily Chen,The Return of the King,,4.0,,4.0
6,426,Mia,The Return of the King,,4.0,,4.0
6,435,Emily Wilson,The Return of the King,,4.0,,4.0
6,575,David Thompson,The Return of the King,,4.0,,4.0
6,504,Ava,The Return of the King,,5.0,,5.0
6,237,Michael Johnson,The Return of the King,,3.0,,3.0
6,566,David Lee,The Return of the King,,4.0,,4.0
6,265,Michael Williams,The Return of the King,,4.0,,4.0
6,47,David Thompson,The Return of the King,,5.0,,5.0
6,528,Aaliyah Johnson,The Return of the King,,4.0,,4.0
6,76,Emily Wilson,The Return of the King,,4.0,,4.0
6,59,David Kim,The Return of the King,,5.0,,5.0
6,521,William Smith,The Return of the King,,5.0,,5.0
6,40,Lily Johnson,The Return of the King,,5.0,,5.0
6,119,William Brown,The Return of the King,,3.0,,3.0
6,391,David Lee,The Return of the King,,5.0,,5.0
6,13,Emily Thompson,The Return of the King,,5.0,,5.0
6,396,Emily Thompson,The Return of the King,,4.0,,4.0
6,153,Lily Chen,The Return of the King,,4.0,,4.0
6,88,Ava,The Return of the King,,4.0,,4.0
6,557,Ethan Kim,The Return of the King,,4.0,,4.0
6,581,George Taylor,The Return of the King,,5.0,,5.0
6,58,Sarah Lee,The Return of the King,,5.0,,5.0
6,1,Marcus Williams,The Return of the King,,3.0,,3.0
6,433,Sarah Johnson,The Return of the King,,3.0,,3.0
10,206,Ben,A Feast for Crows,,4.0,,4.0
10,125,David Peterson,A Feast for Crows,,3.0,,3.0
10,526,Lily Johnson,A Feast for Crows,,4.0,,4.0
10,168,Ethan Thompson,A Feast for Crows,,1.0,,1.0
10,132,Lily Johnson,A Feast for Crows,,4.0,,4.0
10,315,Sarah Lee,A Feast for Crows,,1.0,,1.0
10,181,Alex Williams,A Feast for Crows,,3.0,,3.0
10,383,Samuel Brown,A Feast for Crows,,3.0,,3.0
10,397,Mark Johnson,A Feast for Crows,,4.0,,4.0
10,122,Jasmine,A Feast for Crows,,4.0,,4.0
10,114,Emily Adams,A Feast for Crows,,4.0,,4.0
10,59,David Kim,A Feast for Crows,,4.0,,4.0
10,483,Peter Smith,A Feast for Crows,,5.0,,5.0
10,224,Lily,A Feast for Crows,,3.0,,3.0
10,255,Samuel Lee,A Feast for Crows,,4.0,,4.0
10,427,Thomas,A Feast for Crows,,5.0,,5.0
10,37,Ethan Brown,A Feast for Crows,,4.0,,4.0
10,159,Mary Johnson,A Feast for Crows,,3.0,,3.0
10,336,Sarah Johnson,A Feast for Crows,,2.0,,2.0
10,90,Isabella,A Feast for Crows,,4.0,,4.0
10,202,Sophia Brown,A Feast for Crows,,4.0,,4.0
10,567,Olivia Smith,A Feast for Crows,,4.0,,4.0
10,565,Emily Thompson,A Feast for Crows,,4.0,,4.0
10,269,Ben,A Feast for Crows,,1.0,,1.0
10,69,Emily Lee,A Feast for Crows,,3.0,,3.0
10,517,Max,A Feast for Crows,,4.0,,4.0
10,187,William Brown,A Feast for Crows,,4.0,,4.0
10,584,Oliver Harris,A Feast for Crows,,4.0,,4.0
10,474,Emma Thompson,A Feast for Crows,,4.0,,4.0
10,313,Emily Chen,A Feast for Crows,,3.0,,3.0
10,562,Ava Martin,A Feast for Crows,,3.0,,3.0
10,326,Charlie,A Feast for Crows,,4.0,,4.0
10,425,Ethan,A Feast for Crows,,5.0,,5.0
10,481,Ryan Davis,A Feast for Crows,,4.0,,4.0
10,44,Emily Johnson,A Feast for Crows,,5.0,,5.0
10,196,Emily Johnson,A Feast for Crows,,3.0,,3.0
10,91,James,A Feast for Crows,,4.0,,4.0
10,225,Ethan,A Feast for Crows,,4.0,,4.0
10,322,Sam Patel,A Feast for Crows,,4.0,,4.0
10,88,Ava,A Feast for Crows,,4.0,,4.0
10,156,Jared Smith,A Feast for Crows,,4.0,,4.0
10,13,Emily Thompson,A Feast for Crows,,4.0,,4.0
10,419,William Johnson,A Feast for Crows,,4.0,,4.0
10,577,Ethan Kim,A Feast for Crows,,4.0,,4.0
10,130,Sofia Garcia,A Feast for Crows,,4.0,,4.0
10,24,Nisha Patel,A Feast for Crows,,3.0,,3.0
10,541,Emily Smith,A Feast for Crows,,3.0,,3.0
10,579,Omar Hassan,A Feast for Crows,,3.0,,3.0
10,524,Emma Stone,A Feast for Crows,,4.0,,4.0
10,301,Jack Lee,A Feast for Crows,,4.0,,4.0
10,49,Alex Johnson,A Feast for Crows,,3.0,,3.0
10,368,Aman Sharma,A Feast for Crows,,4.0,,4.0
10,41,James Thompson,A Feast for Crows,,3.0,,3.0
10,111,Caitlin,A Feast for Crows,,3.0,,3.0
10,325,Ben,A Feast for Crows,,3.0,,3.0
10,245,John Smith,A Feast for Crows,,3.0,,3.0
10,410,Emily Brown,A Feast for Crows,,3.0,,3.0
10,40,Lily Johnson,A Feast for Crows,,4.0,,4.0
10,476,Sarah Thompson,A Feast for Crows,,4.0,,4.0
10,385,Mark Johnson,A Feast for Crows,,4.0,,4.0
10,580,Emma Woods,A Feast for Crows,,4.0,,4.0
10,240,Alex,A Feast for Crows,,4.0,,4.0
10,582,Sophia Martin,A Feast for Crows,,5.0,,5.0
10,306,Sarah,A Feast for Crows,,3.0,,3.0
10,227,Max,A Feast for Crows,,3.0,,3.0
10,54,John Smith,A Feast for Crows,,2.0,,2.0
10,226,Maria,A Feast for Crows,,5.0,,5.0
10,556,Ava Lee,A Feast for Crows,,4.0,,4.0
10,273,Emily Wilson,A Feast for Crows,,4.0,,4.0
10,348,Alex Johnson,A Feast for Crows,,5.0,,5.0
10,334,Emily Smith,A Feast for Crows,,4.0,,4.0
10,369,Sofia Rodriguez,A Feast for Crows,,4.0,,4.0
10,563,Oliver Wilson,A Feast for Crows,,4.0,,4.0
10,129,Mark Thompson,A Feast for Crows,,3.0,,3.0
10,137,Emily Kim,A Feast for Crows,,4.0,,4.0
10,436,Alex,A Feast for Crows,,4.0,,4.0
10,163,Jack,A Feast for Crows,,4.0,,4.0
10,14,John Lee,A Feast for Crows,,4.0,,4.0
10,94,Sarah,A Feast for Crows,,1.0,,1.0
10,506,Lily,A Feast for Crows,,4.0,,4.0
10,386,Emily Thompson,A Feast for Crows,,4.0,,4.0
10,149,Ethan Kim,A Feast for Crows,,5.0,,5.0
10,98,David Kim,A Feast for Crows,,3.0,,3.0
10,251,Emily,A Feast for Crows,,5.0,,5.0
10,214,Emily Brown,A Feast for Crows,,4.0,,4.0
10,443,Michael Johnson,A Feast for Crows,,4.0,,4.0
10,215,William Green,A Feast for Crows,,3.0,,3.0
10,299,Mark Johnson,A Feast for Crows,,4.0,,4.0
10,380,Aria Ross,A Feast for Crows,,3.0,,3.0
10,133,James Thompson,A Feast for Crows,,3.0,,3.0
10,496,Ava,A Feast for Crows,,4.0,,4.0
10,388,"Alexandra ""Lexie"" Thompson",A Feast for Crows,,4.0,,4.0
10,561,Ethan Mitchell,A Feast for Crows,,1.0,,1.0
10,597,Ethan Davis,A Feast for Crows,,3.0,,3.0
10,514,Olivia Wong,A Feast for Crows,,3.0,,3.0
10,488,Ava,A Feast for Crows,,4.0,,4.0
10,444,Alex Miller,A Feast for Crows,,5.0,,5.0
10,280,Adrian Thompson,A Feast for Crows,,4.0,,4.0
10,455,Ethan Thompson,A Feast for Crows,,4.0,,4.0
10,169,Lily Wilson,A Feast for Crows,,4.0,,4.0
14,238,Aisha Patel,The Horse and His Boy,,3.0,,3.0
14,113,James Johnson,The Horse and His Boy,,3.0,,3.0
14,474,Emma Thompson,The Horse and His Boy,,3.0,,3.0
14,438,James,The Horse and His Boy,,4.0,,4.0
14,217,David,The Horse and His Boy,,1.0,,1.0
14,198,Lily Wilson,The Horse and His Boy,,3.0,,3.0
14,448,Emily Johnson,The Horse and His Boy,,3.0,,3.0
14,98,David Kim,The Horse and His Boy,,3.0,,3.0
14,62,Sarah Lee,The Horse and His Boy,,5.0,,5.0
14,524,Emma Stone,The Horse and His Boy,,4.0,,4.0
14,218,Sophia,The Horse and His Boy,,4.0,,4.0
14,189,Michael Johnson,The Horse and His Boy,,4.0,,4.0
14,168,Ethan Thompson,The Horse and His Boy,,3.0,,3.0
14,153,Lily Chen,The Horse and His Boy,,3.0,,3.0
14,408,"Alexandra ""Alex"" Johnson",The Horse and His Boy,,4.0,,4.0
14,289,Jack Taylor,The Horse and His Boy,,3.0,,3.0
14,312,Alex Johnson,The Horse and His Boy,,3.0,,3.0
14,240,Alex,The Horse and His Boy,,4.0,,4.0
14,211,Benjamin,The Horse and His Boy,,5.0,,5.0
14,485,Emily,The Horse and His Boy,,5.0,,5.0
14,332,Olivia Thompson,The Horse and His Boy,,4.0,,4.0
14,197,Ethan Thompson,The Horse and His Boy,,4.0,,4.0
14,42,Emily Wilson,The Horse and His Boy,,4.0,,4.0
14,180,Luna Rossi,The Horse and His Boy,,5.0,,5.0
14,227,Max,The Horse and His Boy,,5.0,,5.0
14,210,Maya,The Horse and His Boy,,4.0,,4.0
14,445,Sophia Lee,The Horse and His Boy,,4.0,,4.0
14,350,Ethan Williams,The Horse and His Boy,,4.0,,4.0
14,323,Sophie Chen,The Horse and His Boy,,4.0,,4.0
14,297,Ethan Lee,The Horse and His Boy,,4.0,,4.0
14,51,Samuel Garcia,The Horse and His Boy,,4.0,,4.0
14,342,William Smith,The Horse and His Boy,,5.0,,5.0
14,39,James Johnson,The Horse and His Boy,,5.0,,5.0
14,124,Emily Johnson,The Horse and His Boy,,3.0,,3.0
14,29,Eric,The Horse and His Boy,,3.0,,3.0
14,86,Sarah Wilson,The Horse and His Boy,,4.0,,4.0
14,171,Emily Adams,The Horse and His Boy,,4.0,,4.0
14,50,Olivia Brown,The Horse and His Boy,,3.0,,3.0
14,96,Alexander Chen,The Horse and His Boy,,3.0,,3.0
14,449,Jack Thompson,The Horse and His Boy,,3.0,,3.0
14,149,Ethan Kim,The Horse and His Boy,,4.0,,4.0
