item,user,user_name,item_name,LLM_explanation,LLM_rating,LLM_interaction_HTML,rating
3,525,William Smith,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,224,Lily,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,554,Mohammad Ali,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,298,Maria Hernandez,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,314,David Green,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,566,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,462,Sophie,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,77,David Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,291,John Anderson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,277,Ethan Green,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,375,Alexander Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,249,Lisa,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,95,Thomas,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,530,Isabella Rodriguez,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,403,David,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,35,Emily Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,441,David Kim,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,49,Alex Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,131,Mohammed Ahmed,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,23,Oliver Smith,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,461,Max,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,259,James,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,580,Emma Woods,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,192,Emily Williams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,430,Luna,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,420,Alex,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,4,Emma Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,198,Lily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,563,Oliver Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,333,William Brown,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,398,Charlotte Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,162,Emily,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,280,Adrian Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,88,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,197,Ethan Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,8,Luna James,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,344,Emily Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,394,Emily Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
