item,user,user_name,item_name,LLM_explanation,LLM_rating,LLM_interaction_HTML,rating
3,519,David,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,344,Emily Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,231,Robert Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,414,Sarah Taylor,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,175,David,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,336,Sarah Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,568,Ava Green,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,348,Alex Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,498,Sophia,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,473,Jack Taylor,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,366,Emily Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,334,Emily Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,527,James Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,578,Amelia Jackson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,188,Anna Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,447,Emily Jones,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,320,Alex Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,413,Samuel Williams,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,589,Jack Williams,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,206,Ben,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,547,David White,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,452,Emily Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,567,Olivia Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,448,Emily Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,429,Ethan,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,432,Aaron Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,591,Michael Brown,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,358,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,493,David Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,472,Lily Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,244,Alice Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,420,Alex,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,79,William Green,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,266,Emily Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,16,Emma Parker,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,143,Ethan,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,172,Alice,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,396,Emily Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,368,Aman Sharma,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,304,Ava,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,312,Alex Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,154,Jack Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,588,Emily Miller,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,371,Maya Patel,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,106,Amelia Rose,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,204,Alex,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,566,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,148,Ava Chen,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,15,Sarah Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,54,John Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,91,James,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,162,Emily,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,291,John Anderson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,326,Charlie,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,419,William Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,542,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,85,James Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,340,Michael Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,27,David Martin,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,201,James Mitchell,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,278,Sophia Jones,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,356,Adrian Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,324,Ava,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,17,Max Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,112,Olivia Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,260,Emily Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,594,Sophia Taylor,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,387,David Brown,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,222,Sarah Jones,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,562,Ava Martin,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,488,Ava,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,590,Sarah Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,132,Lily Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,374,Isabella Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,269,Ben,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,468,Alex Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,284,Akira Saito,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,372,Amelia Parker,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,543,Sarah Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,357,Emma Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,337,Jack Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,57,Lucas Green,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,37,Ethan Brown,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,271,David,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,538,Maria Rodriguez,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,373,Ethan Harris,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,391,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,252,Emily Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,26,Sarah Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,84,Samantha Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,469,Sarah Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,302,Sarah Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,95,Thomas,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,535,Emily Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,584,Oliver Harris,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,300,Emily Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,491,Max,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,400,Ava,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,436,Alex,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,439,Lily,Harry Potter and the Goblet of Fire,,1.0,,1.0
6,135,Robert Brown,The Return of the King,,1.0,,1.0
6,115,Michael Brown,The Return of the King,,1.0,,1.0
6,559,Jack Chen,The Return of the King,,1.0,,1.0
6,252,Emily Johnson,The Return of the King,,1.0,,1.0
6,318,Michael Rodriguez,The Return of the King,,1.0,,1.0
6,383,Samuel Brown,The Return of the King,,1.0,,1.0
6,308,Emily Johnson,The Return of the King,,1.0,,1.0
6,578,Amelia Jackson,The Return of the King,,1.0,,1.0
6,427,Thomas,The Return of the King,,1.0,,1.0
6,146,Emily Wilson,The Return of the King,,1.0,,1.0
6,46,Samantha Lee,The Return of the King,,1.0,,1.0
