item,user,user_name,item_name,LLM_explanation,LLM_rating,LLM_interaction_HTML,rating
3,370,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,68,Michael Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,54,John Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,530,Isabella Rodriguez,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,559,Jack Chen,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,123,Alex,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,511,Ethan Lee,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,435,Emily Wilson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,94,Sarah,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,439,Lily,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,572,Samantha Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,343,Emily Kim,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,369,Sofia Rodriguez,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,494,Emily Jackson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,444,Alex Miller,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,351,Maya Patel,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,456,Ava Jones,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,207,Catherine,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,362,Lily Johnson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,541,Emily Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,226,Maria,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,183,David Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,342,William Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,153,Lily Chen,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,513,Ethan Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,293,Sarah,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,392,"Alexandra ""Alex"" Johnson",Harry Potter and the Goblet of Fire,,1.0,,1.0
3,346,Sarah Davis,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,76,Emily Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,502,Jared Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,71,David Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,534,David Thompson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,213,David Lee,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,588,Emily Miller,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,250,John,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,235,William Scott,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,26,Sarah Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,196,Emily Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,578,Amelia Jackson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,380,Aria Ross,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,273,Emily Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,528,Aaliyah Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,344,Emily Thompson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,486,John,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,524,Emma Stone,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,514,Olivia Wong,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,234,Jasmine Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,522,Elizabeth Taylor,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,160,Alice,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,229,Michael Johnson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,535,Emily Wilson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,31,Thomas,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,198,Lily Wilson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,78,Sophia Reed,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,587,Elizabeth Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,268,Alice,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,7,David Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,379,James Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,321,Emily Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,562,Ava Martin,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,192,Emily Williams,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,598,Victoria Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,372,Amelia Parker,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,566,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,595,David Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,397,Mark Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,83,Jackson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,483,Peter Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,478,Emily Brown,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,272,Alex Johnson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,193,David Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
