item,user,user_name,item_name,LLM_explanation,LLM_rating,LLM_interaction_HTML,rating
3,577,Ethan Kim,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,529,Ethan Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,3,David Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,144,Olivia Johnson,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,479,James Anderson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,263,William Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,376,Aaliyah Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,172,Alice,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,482,Ava Martinez,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,84,Samantha Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,58,Sarah Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,54,John Smith,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,165,Ben,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,23,Oliver Smith,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,551,Lily Taylor,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,181,Alex Williams,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,131,Mohammed Ahmed,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,16,Emma Parker,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,535,Emily Wilson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,268,Alice,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,241,Sofia,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,438,James,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,599,Jackson Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,399,David Green,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,171,Emily Adams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,259,James,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,226,Maria,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,445,Sophia Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,527,James Thompson,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,368,Aman Sharma,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,386,Emily Thompson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,570,Mia Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,220,Emily Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,301,Jack Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,276,Ava Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,371,Maya Patel,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,348,Alex Johnson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,430,Luna,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,114,Emily Adams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,83,Jackson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,110,Ben,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,184,Emily Williams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,384,Maria Sanchez,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,4,Emma Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,517,Max,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,208,Ava,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,197,Ethan Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,334,Emily Smith,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,222,Sarah Jones,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,161,Tom,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,133,James Thompson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,415,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,569,Jack Lee,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,502,Jared Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,279,William Taylor,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,273,Emily Wilson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,60,Emily Williams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,64,Emily Wilson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,152,Ethan Thompson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,72,Avery Adams,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,356,Adrian Thompson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,457,James Williams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,557,Ethan Kim,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,324,Ava,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,129,Mark Thompson,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,441,David Kim,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,85,James Thompson,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,402,Maya,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,31,Thomas,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,200,Ava Nelson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,347,William Brown,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,188,Anna Smith,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,378,Sarah Taylor,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,365,David Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,221,Mark Thompson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,48,Emily Taylor,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,215,William Green,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,33,Lily Chen,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,544,Sophia Thompson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,582,Sophia Martin,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,339,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,592,Aaliyah Williams,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,494,Emily Jackson,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,96,Alexander Chen,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,345,James Johnson,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,318,Michael Rodriguez,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,566,David Lee,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,377,David Lee,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,2,Ava Green,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,533,Samantha Davis,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,420,Alex,Harry Potter and the Goblet of Fire,,5.0,,5.0
3,484,Alex,Harry Potter and the Goblet of Fire,,1.0,,1.0
3,163,Jack,Harry Potter and the Goblet of Fire,,3.0,,3.0
3,390,Emily Smith,Harry Potter and the Goblet of Fire,,2.0,,2.0
3,395,David Lee,Harry Potter and the Goblet of Fire,,4.0,,4.0
3,506,Lily,Harry Potter and the Goblet of Fire,,1.0,,1.0
